date,price,bedrooms,grade,has_basement,living_in_m2,renovated,nice_view,perfect_condition,real_bathrooms,has_lavatory,single_floor,month,quartile_zone
2014-06-20,237000.0,3,7,False,120.7739,False,False,False,1,False,True,6,2
2015-04-20,1328000.0,5,9,True,310.29602,True,True,False,3,False,True,4,4
2014-08-13,790500.0,4,9,False,311.22505,False,False,False,2,True,False,8,4
2015-04-08,431000.0,4,9,False,282.42512,False,False,False,2,True,False,4,2
2015-02-11,199000.0,3,7,True,162.58025,False,False,False,2,True,True,2,2
2014-05-14,773000.0,3,9,False,229.47041,False,False,False,2,True,False,5,3
2015-02-11,723000.0,4,8,True,259.19937,False,False,False,2,False,True,2,4
2015-03-25,601000.0,3,8,False,123.56099,True,False,False,1,True,True,3,2
2015-02-24,850000.0,2,7,True,167.2254,False,True,False,1,True,True,2,3
2014-12-05,369000.0,4,9,False,220.18010999999998,False,False,False,2,True,False,12,1
2014-05-20,380000.0,3,8,True,157.00607,False,False,False,1,True,False,5,2
2014-12-05,585188.0,3,8,True,207.17369,False,False,False,2,True,True,12,4
2014-12-03,652450.0,3,8,True,207.17369,False,False,True,2,True,True,12,4
2015-04-28,410000.0,3,7,False,131.92226,False,False,False,2,True,False,4,3
2014-12-02,550000.0,3,7,False,153.28995,False,False,False,2,False,False,12,3
2014-12-11,320000.0,3,8,True,137.49644,False,False,False,3,True,False,12,1
2015-04-21,281000.0,4,7,False,155.798331,False,False,False,2,True,False,4,1
2015-01-05,245000.0,4,7,False,198.81242,False,False,False,2,True,False,1,1
2014-05-16,239950.0,5,6,False,135.63838,False,False,False,1,False,False,5,1
2014-07-24,253101.0,3,7,False,115.10681699999999,False,False,False,2,False,True,7,1
2015-02-23,255000.0,4,7,False,116.12875,False,False,False,1,False,True,2,1
2014-10-17,500000.0,3,8,False,142.14159,False,False,True,1,True,True,10,4
2014-09-30,300000.0,4,7,True,193.23824,False,False,False,2,True,True,9,1
2015-05-07,355000.0,2,7,False,83.6127,False,False,False,1,False,True,5,2
2014-06-20,339990.0,3,8,False,238.76071,False,False,False,2,True,False,6,1
2015-01-23,560000.0,4,8,False,273.13482,False,False,False,2,True,False,1,3
2015-02-20,210000.0,2,6,False,83.6127,True,False,True,1,False,True,2,1
2015-01-20,316000.0,3,8,False,138.42547,False,False,False,2,True,False,1,3
2014-06-25,680000.0,4,8,True,174.65764,False,True,True,1,True,True,6,2
2014-06-02,645000.0,4,8,True,225.75429,False,False,True,2,True,True,6,4
2014-11-05,269900.0,3,7,False,131.92226,False,False,True,1,True,True,11,1
2014-07-25,260000.0,3,7,False,155.14801,False,False,False,2,True,False,7,1
2014-12-02,732000.0,3,8,False,182.08988,False,False,False,2,True,False,12,3
2014-07-09,560000.0,3,8,False,182.08988,False,False,False,2,True,False,7,4
2014-07-29,865000.0,4,8,False,167.2254,False,True,False,1,True,False,7,4
2015-03-13,1389000.0,4,9,True,290.78639,False,False,False,3,True,False,3,3
2014-10-22,310000.0,3,7,False,109.62554,False,False,False,1,False,False,10,2
2014-09-26,499000.0,3,7,True,162.58025,True,False,False,2,True,False,9,3
2014-07-08,435000.0,4,7,False,199.74145,False,False,False,2,True,False,7,3
2015-04-10,350000.0,3,8,False,151.43189,False,False,False,2,True,False,4,3
2014-07-03,265900.0,3,7,False,109.62554,False,False,False,2,False,True,7,1
2015-04-08,180000.0,3,7,False,149.57383,False,False,False,1,False,False,4,1
2015-02-17,600000.0,3,9,False,208.10272,False,False,False,2,True,False,2,4
2014-10-03,553000.0,2,8,True,130.0642,False,False,False,2,False,False,10,3
2014-05-08,1307000.0,5,10,True,260.1284,True,False,True,3,True,False,5,4
2014-07-11,814842.0,3,9,False,296.36057,False,False,False,2,True,False,7,2
2014-12-04,427500.0,3,7,True,176.5157,False,False,False,1,True,False,12,2
2014-06-30,383962.0,4,8,False,250.8381,False,False,False,2,True,False,6,1
2015-02-11,1191000.0,5,8,True,251.76713,False,False,False,2,True,True,2,4
2014-08-04,400000.0,2,7,True,117.98681,False,False,False,1,False,True,8,2
2014-06-25,595888.0,3,9,False,173.72861,False,False,True,1,True,True,6,3
2015-04-28,365000.0,3,7,False,104.05136,False,False,False,1,False,True,4,2
2014-12-08,1315000.0,4,8,False,265.70258,True,False,False,3,False,True,12,4
2014-09-22,900000.0,4,10,False,336.30886,False,False,False,2,True,False,9,4
2015-02-06,393000.0,4,8,False,166.29637,False,False,False,1,True,True,2,2
2014-10-20,765000.0,4,10,False,375.32812,False,False,False,2,True,False,10,2
2015-02-18,622500.0,2,8,True,140.28353,False,False,False,1,True,False,2,3
2014-07-11,1480000.0,3,11,True,343.7411,False,False,False,3,True,False,7,4
2014-12-10,365000.0,4,8,False,224.82526,False,False,False,2,True,False,12,1
2014-07-24,798000.0,4,10,False,325.1605,False,False,False,3,True,False,7,3
2014-07-11,370000.0,3,7,False,108.69651,False,False,False,1,False,True,7,2
2014-05-28,438750.0,3,7,False,149.57383,False,False,False,1,True,True,5,2
2015-03-31,406000.0,2,7,True,103.12233,False,False,False,2,False,False,3,3
2014-07-21,775000.0,3,10,False,268.48967,False,False,False,2,True,False,7,4
2015-04-01,323000.0,3,8,False,159.79316,False,False,False,1,True,True,4,1
2014-07-01,952500.0,4,10,False,236.90265,False,False,False,1,True,False,7,4
